"Country/Region",Total Cases,New Cases,Total Deaths,New Deaths,Total_Recovered,New Recovered,Active Cases,"Serious,Critical",Tot�Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Honduras,472533.0,,11112.0,,453631.68,,,105,"46,230","1,087","16,52,947","1,61,717","1,02,21,247"
Armenia,448980.0,,8746.0,,435162.0,,5072.0,,"1,51,072","2,943","32,42,901","10,91,164","29,71,966"
Bosnia and Herzegovina,402804.0,,16336.0,,379084.0,,7384.0,,"1,23,966","5,028","18,84,721","5,80,036","32,49,317"
Oman,399449.0,,4628.0,,384669.0,,10152.0,2,"75,028",869,"2,50,00,000","46,95,724","53,23,993"
North Macedonia,348057.0,,9672.0,,337068.0,,1317.0,,"1,67,230","4,647","22,26,216","10,69,626","20,81,304"
Zambia,343901.0,,4058.0,,339777.0,,66.0,,"17,663",208,"40,30,148","2,06,990","1,94,70,234"
Kenya,343035.0,,5688.0,,337305.0,,42.0,1,"6,102",101,"39,67,062","70,569","5,62,15,221"
Albania,334726.0,,3602.0,,329428.0,,1696.0,,"1,16,777","1,257","19,41,032","6,77,173","28,66,374"
Botswana,329847.0,,2801.0,,327046.0,,0.0,1,"1,35,119","1,147","20,26,898","8,30,300","24,41,162"
Luxembourg,297757.0,,1133.0,,288991.0,,7633.0,,"4,63,528","1,764","44,12,567","68,69,188","6,42,371"
Montenegro,291405.0,,2824.0,,287936.0,,645.0,6,"4,64,058","4,497","27,47,497","43,75,344","6,27,950"
Brunei,285740.0,,225.0,,243601.0,,41914.0,3,"6,41,491",505,"7,17,784","16,11,437","4,45,431"
Algeria,271707.0,,6881.0,,182952.0,,81874.0,,"5,991",152,"2,30,861","5,091","4,53,50,148"
Nigeria,266675.0,,3155.0,,259953.0,,3567.0,11,"1,230",15,"57,08,974","26,339","21,67,46,934"
Zimbabwe,264639.0,,5686.0,,258888.0,,65.0,12,"17,261",371,"25,25,756","1,64,744","1,53,31,428"
Uzbekistan,252725.0,,1637.0,,241486.0,,9602.0,23,"7,350",48,"13,77,915","40,077","3,43,82,084"
Mozambique,233334.0,,2242.0,,228805.0,,2287.0,11,"7,052",68,"13,71,127","41,437","3,30,89,461"
Martinique,229807.0,,1098.0,,220614.72,,,12,"6,14,314","2,935","8,28,928","22,15,870","3,74,087"
Laos,218077.0,1,758.0,,209353.91999999998,,,,"29,151",101,"12,33,207","1,64,845","74,81,023"
Afghanistan,214763.0,,7896.0,,193487.0,,13380.0,45,"5,270",194,"12,32,539","30,243","4,07,54,388"
Iceland,209191.0,,229.0,,200823.36,,,2,"6,05,661",663,"19,96,384","57,80,036","3,45,393"
Kyrgyzstan,206876.0,,2991.0,,196406.0,,7479.0,131,"30,747",445,"19,07,195","2,83,460","67,28,271"
Guadeloupe,202482.0,,1017.0,,194382.72,,,19,"5,06,466","2,544","9,38,039","23,46,306","3,99,794"
El Salvador,201785.0,,4230.0,,179410.0,,18145.0,8,"30,805",646,"26,10,114","3,98,467","65,50,389"
Trinidad and Tobago,191350.0,,4387.0,,186918.0,,45.0,8,"1,36,039","3,119","9,11,009","6,47,674","14,06,585"
Maldives,186241.0,,313.0,,163687.0,,22241.0,25,"3,44,263",579,"22,13,831","40,92,223","5,40,985"
Ghana,171657.0,,1462.0,,170161.0,,34.0,2,"5,299",45,"25,36,496","78,298","3,23,95,450"
Namibia,171222.0,,4090.0,,167099.0,,33.0,,"65,008","1,553","10,62,663","4,03,460","26,33,874"
Uganda,170647.0,,3632.0,,100431.0,,66584.0,3,"3,523",75,"30,12,408","62,198","4,84,32,863"
Jamaica,154786.0,,3536.0,,102803.0,,48447.0,,"51,853","1,185","11,83,986","3,96,633","29,85,094"
Cambodia,138732.0,,3056.0,,135672.0,,4.0,,"8,081",178,"30,91,420","1,80,062","1,71,68,639"
Rwanda,133194.0,,1468.0,,131647.0,,79.0,,"9,793",108,"60,21,981","4,42,778","1,36,00,464"
Cameroon,124895.0,,1971.0,,122807.0,,117.0,13,"4,475",71,"17,51,774","62,762","2,79,11,548"
Malta,118441.0,,835.0,,116962.0,,644.0,4,"2,66,739","1,880","21,33,928","48,05,787","4,44,033"
Barbados,107466.0,,588.0,,106869.0,,9.0,,"3,73,116","2,042","8,00,831","27,80,441","2,88,023"
Angola,105384.0,,1934.0,,103419.0,,31.0,,"3,009",55,"14,99,795","42,818","3,50,27,343"
Channel Islands,101717.0,,228.0,,101321.0,,168.0,,"5,76,421","1,292","12,52,808","70,99,551","1,76,463"
French Guiana,98041.0,,420.0,,11254.0,,86367.0,6,"3,12,065","1,337","6,51,257","20,72,951","3,14,169"
DRC,95945.0,,1464.0,,84489.0,,9992.0,,"1,007",15,"8,46,704","8,890","9,52,40,792"
Senegal,88995.0,,1971.0,,87022.0,,2.0,,"5,041",112,"11,46,543","64,946","1,76,53,671"
Malawi,88722.0,,2686.0,,85644.0,,392.0,67,"4,396",133,"6,24,784","30,959","2,01,80,839"
Ivory Coast,88323.0,,834.0,,87485.0,,4.0,,"3,184",30,"16,89,184","60,888","2,77,42,298"
Suriname,82495.0,,1404.0,,79195.2,,,,"1,38,222","2,352","2,41,666","4,04,915","5,96,831"
New Caledonia,79922.0,,314.0,,79605.0,,3.0,9,"2,74,726","1,079","98,964","3,40,182","2,90,915"
French Polynesia,78417.0,,649.0,,75280.31999999999,,,7,"2,75,957","2,284",,,"2,84,164"
Eswatini,74627.0,,1425.0,,73116.0,,86.0,,"62,986","1,203","10,48,704","8,85,119","11,84,817"
Guyana,73162.0,,1298.0,,71824.0,,40.0,,"92,138","1,635","7,28,633","9,17,622","7,94,045"
Belize,70782.0,,688.0,,70085.0,,9.0,6,"1,71,722","1,669","5,76,016","13,97,453","4,12,190"
Fiji,68921.0,,883.0,,67029.0,,1009.0,,"75,782",971,"6,70,903","7,37,689","9,09,466"
Madagascar,68211.0,,1424.0,,66753.0,,34.0,,"2,338",49,"5,30,005","18,164","2,91,78,077"
Sudan,63993.0,,5046.0,,58640.0,,307.0,,"1,391",110,"5,62,941","12,240","4,59,92,020"
Mauritania,63715.0,,997.0,,62471.0,,247.0,,"12,998",203,"10,09,957","2,06,030","49,01,981"
Cabo Verde,63467.0,,413.0,,62892.0,,162.0,23,"1,11,801",728,"4,01,622","7,07,482","5,67,678"
Bhutan,62663.0,,21.0,,61564.0,,1078.0,,"79,528",27,"23,03,734","29,23,739","7,87,941"
Syria,57508.0,,3164.0,,54344.0,,0.0,,"2,970",163,"1,46,269","7,553","1,93,64,809"
Burundi,53731.0,,38.0,,53569.0,,124.0,,"4,256",3,"3,45,742","27,386","1,26,24,840"
Seychelles,50937.0,,172.0,,50750.0,,15.0,,"5,12,311","1,730",,,"99,426"
Gabon,48981.0,,306.0,,48674.0,,1.0,,"21,008",131,"16,21,909","6,95,641","23,31,533"
Andorra,47945.0,,165.0,,47563.0,,217.0,14,"6,18,941","2,130","2,49,838","32,25,256","77,463"
Papua New Guinea,46838.0,,670.0,,43982.0,,2186.0,7,"5,041",72,"2,49,149","26,813","92,92,169"
Cura�ao,45986.0,,295.0,,44720.0,,971.0,3,"2,77,812","1,782","4,96,693","30,00,640","1,65,529"
